date,state,cases,deaths,abbreviation
2020-01-21,Washington,1,0,WA
2020-01-22,Washington,1,0,WA
2020-01-23,Washington,1,0,WA
2020-01-24,Illinois,1,0,IL
2020-01-24,Washington,1,0,WA
2020-01-25,California,1,0,CA
2020-01-25,Illinois,1,0,IL
2020-01-25,Washington,1,0,WA
2020-01-26,Arizona,1,0,AZ
2020-01-26,California,2,0,CA
2020-01-26,Illinois,1,0,IL
2020-01-26,Washington,1,0,WA
2020-01-27,Arizona,1,0,AZ
2020-01-27,California,2,0,CA
2020-01-27,Illinois,1,0,IL
2020-01-27,Washington,1,0,WA
2020-01-28,Arizona,1,0,AZ
2020-01-28,California,2,0,CA
2020-01-28,Illinois,1,0,IL
2020-01-28,Washington,1,0,WA
2020-01-29,Arizona,1,0,AZ
2020-01-29,California,2,0,CA
2020-01-29,Illinois,1,0,IL
2020-01-29,Washington,1,0,WA
2020-01-30,Arizona,1,0,AZ
2020-01-30,California,2,0,CA
2020-01-30,Illinois,2,0,IL
2020-01-30,Washington,1,0,WA
2020-01-31,Arizona,1,0,AZ
2020-01-31,California,3,0,CA
2020-01-31,Illinois,2,0,IL
2020-01-31,Washington,1,0,WA
2020-02-01,Arizona,1,0,AZ
2020-02-01,California,3,0,CA
2020-02-01,Illinois,2,0,IL
2020-02-01,Massachusetts,1,0,MA
2020-02-01,Washington,1,0,WA
2020-02-02,Arizona,1,0,AZ
2020-02-02,California,6,0,CA
2020-02-02,Illinois,2,0,IL
2020-02-02,Massachusetts,1,0,MA
2020-02-02,Washington,1,0,WA
2020-02-03,Arizona,1,0,AZ
2020-02-03,California,6,0,CA
2020-02-03,Illinois,2,0,IL
2020-02-03,Massachusetts,1,0,MA
2020-02-03,Washington,1,0,WA
2020-02-04,Arizona,1,0,AZ
2020-02-04,California,6,0,CA
2020-02-04,Illinois,2,0,IL
2020-02-04,Massachusetts,1,0,MA
2020-02-04,Washington,1,0,WA
2020-02-05,Arizona,1,0,AZ
2020-02-05,California,6,0,CA
2020-02-05,Illinois,2,0,IL
2020-02-05,Massachusetts,1,0,MA
2020-02-05,Washington,1,0,WA
2020-02-05,Wisconsin,1,0,WI
2020-02-06,Arizona,1,0,AZ
2020-02-06,California,6,0,CA
2020-02-06,Illinois,2,0,IL
2020-02-06,Massachusetts,1,0,MA
2020-02-06,Washington,1,0,WA
2020-02-06,Wisconsin,1,0,WI
2020-02-07,Arizona,1,0,AZ
2020-02-07,California,6,0,CA
2020-02-07,Illinois,2,0,IL
