date,type,title
2009-02-20T15:19:37Z,multimedia,"Recap: Fall Fashion Week, New York"
2009-02-15T23:56:26Z,multimedia,Michael Kors
2009-09-17T03:54:58Z,multimedia,UrbanEye: Backstage at Marc Jacobs
2009-02-16T23:56:55Z,multimedia,Bill Cunningham on N.Y. Fashion Week
2009-09-17T21:55:48Z,multimedia,Fashion Week Spring 2010
2009-02-12T19:40:39Z,multimedia,Alexander Wang
2009-09-11T23:07:51Z,multimedia,Of Color | Diversity Beyond the Runway
2009-09-18T18:44:10Z,multimedia,On the Street | The Look
2009-09-14T14:20:32Z,multimedia,A Designer Reinvents Himself
2009-09-12T03:06:57Z,multimedia,On the Street | Catwalk
2009-12-21T06:30:23Z,blogpost,What's Your Buzzword of 2009?
2009-02-18T00:00:00Z,multimedia,The Land of Fashion 
2009-02-18T00:00:00Z,article,"In the Moment, or Not"
2009-02-20T00:00:00Z,multimedia,A Fashion Week Finale 
2009-02-20T00:00:00Z,article,Playing With Chaos
2009-09-16T00:00:00Z,article,Sense And Sensibility Restored
2009-02-19T00:00:00Z,article,"Surface Sheen, Subtle Thought"
2009-03-18T00:00:00Z,multimedia,Fashion Week Retrospective 
2009-02-20T00:00:00Z,article,"All Kidding Aside, Some Good Clothes"
2009-02-19T00:00:00Z,multimedia,Show Scenes 
2009-10-06T00:00:00Z,article,Rodarte's Mulleavy Sisters Find No Limits in L.A.
2009-02-15T00:00:00Z,article,It's a Jungle Out There
2009-09-15T05:00:01Z,blogpost,Fashion Week Agenda | Tuesday
2009-02-09T14:17:59Z,blogpost,Now Serving | Fashion Week Tea Party
2009-01-11T00:00:00Z,article,Fashion Barometer
2009-02-21T00:00:00Z,article,'Project Runway' Battle Dampens Fashion Week
2009-03-06T16:41:51Z,blogpost,Paris Fashion Week | Super Saturday
2009-09-17T16:27:29Z,blogpost,Fashion Week | Let's Hear It for the Boys
2009-09-23T13:57:07Z,blogpost,London Fashion Week | The Way We Weren't
2009-03-04T16:58:18Z,blogpost,Showtime | Paris Fashion Week
2009-07-07T16:09:16Z,blogpost,Where's the Love? | Berlin Fashion Week
2009-02-20T09:00:22Z,blogpost,Fashion Week Agenda | Friday
2009-02-17T09:00:19Z,blogpost,Fashion Week Agenda | Tuesday
2009-09-24T05:16:56Z,blogpost,Milan Fashion Week Agenda | Thursday
2009-03-16T16:30:58Z,blogpost,Invitations Only | Paris Fashion Week
2009-09-19T04:50:41Z,blogpost,London Fashion Week Agenda | Saturday
2009-09-12T13:08:56Z,blogpost,Editor's Choice | Fashion Week Dreamin'
2009-09-24T00:00:00Z,article,"Trend of The Season, In Brief"
2009-02-23T18:20:25Z,blogpost,London Fashion Week | Positive Thinking
